filename,otus,sequences,meanSeqLen,shortestSeq,longestSeq,pctMissingData,alignmentLen,shortSequencesRemoved,longBranchesRemoved,monophyliesMasked,nodesCollapsed,divergentOtusRemoved
OG0008056.iq.fa,26,27,137,100,170,0.28607253086419754,192,0,2,0,0,1
OG0007088.iq.fa,22,28,250,100,796,0.7066236811254396,853,0,4,0,0,1
OG0008815.iq.fa,21,23,235,102,468,0.5409780489872023,513,0,0,1,0,0
OG0002366.iq.fa,41,48,449,101,726,0.5684780870121561,1042,0,0,0,0,4
OG0003024.iq.fa,40,58,325,100,624,0.6144590619382252,844,0,4,5,0,3
OG0003574.iq.fa,42,53,142,105,227,0.45779922223822556,262,0,0,1,0,9
OG0005518.iq.fa,31,38,277,100,443,0.4305630606289852,487,0,2,2,0,5
OG0002008.iq.fa,45,63,376,99,775,0.5408425652031011,821,1,5,6,0,7
OG0002636.iq.fa,42,64,382,103,738,0.5053698320413437,774,0,3,8,0,6
OG0008013.iq.fa,23,28,251,105,588,0.6585791925465838,736,0,2,2,0,1
OG0007117.iq.fa,25,27,229,100,329,0.3971031398852921,381,0,2,2,0,0
OG0001693.iq.fa,41,86,208,100,627,0.7237486523948868,755,0,5,2,0,15
OG0004518.iq.fa,22,39,213,100,723,0.7342338027269534,803,0,2,2,0,6
OG0009487.iq.fa,21,25,265,102,992,0.7516635514018691,1070,0,2,1,0,1
OG0003008.iq.fa,33,56,266,99,691,0.6241184767277856,709,1,2,7,0,5
OG0006255.iq.fa,31,37,240,102,426,0.4989561586638831,479,0,2,1,0,1
OG0007447.iq.fa,25,34,205,102,534,0.6203109709687942,541,0,4,2,0,3
OG0008452.iq.fa,21,29,243,101,1176,0.795967368664661,1192,0,3,3,0,1
OG0009013.iq.fa,22,22,169,103,192,0.1868444055944056,208,0,0,0,0,0
OG0002859.iq.fa,34,39,155,108,187,0.2519723865877712,208,0,3,0,0,2
OG0000868.iq.fa,41,46,238,102,293,0.35236243666784495,369,0,4,1,0,2
OG0005850.iq.fa,25,39,244,99,1275,0.8261337713295008,1405,1,0,4,0,6
OG0001884.iq.fa,36,44,390,102,569,0.39820002801512816,649,0,0,3,0,3
OG0003760.iq.fa,38,48,241,99,314,0.30760506208213945,349,1,3,1,0,3
OG0006106.iq.fa,28,28,191,103,232,0.4468414533443435,346,0,0,0,0,0
OG0001416.iq.fa,29,61,152,99,294,0.6483549767160111,433,2,30,1,0,7
OG0006945.iq.fa,27,33,299,100,667,0.5769131997945557,708,0,2,1,0,1
OG0007861.iq.fa,21,23,192,102,300,0.4173124917903586,331,0,0,0,0,2
OG0004734.iq.fa,40,45,161,101,537,0.7163145539906103,568,0,4,0,0,2
OG0004270.iq.fa,30,54,276,99,789,0.6713403880070546,840,2,3,8,0,4
OG0008874.iq.fa,24,25,181,103,247,0.4538138138138138,333,0,4,0,0,0
OG0006183.iq.fa,35,37,129,106,149,0.3636724960254372,204,0,3,2,0,0
OG0005126.iq.fa,30,41,440,103,1858,0.777992230527144,1984,0,2,5,0,4
OG0006592.iq.fa,22,35,342,100,692,0.5093807480073574,699,0,5,4,0,5
OG0007791.iq.fa,24,27,200,100,316,0.36827393431167016,318,0,2,1,0,0
OG0001963.iq.fa,23,71,142,100,358,0.7165492957746479,504,0,5,4,0,16
OG0004264.iq.fa,28,50,307,99,1220,0.7592789968652037,1276,1,3,2,0,4
OG0006143.iq.fa,31,45,245,100,994,0.7812574139976275,1124,0,2,6,0,4
OG0001082.iq.fa,41,82,187,99,374,0.5461293743372216,414,1,4,2,0,10
OG0006900.iq.fa,33,33,155,116,183,0.26339221599885104,211,0,2,0,0,0
OG0003725.iq.fa,37,51,262,100,474,0.4757935110171813,501,0,4,1,0,8
OG0004235.iq.fa,37,39,203,102,249,0.21947146085077118,261,0,2,2,0,0
OG0002760.iq.fa,43,51,312,100,434,0.32299774573603846,461,0,4,3,0,0
OG0007945.iq.fa,22,27,158,100,215,0.30794112890182757,229,0,2,1,0,3
OG0001453.iq.fa,28,62,252,99,410,0.4573584383220269,466,1,0,5,0,18
OG0005270.iq.fa,37,45,196,108,233,0.24264957264957265,260,0,3,0,0,3
OG0003952.iq.fa,32,51,287,100,773,0.6369952773038597,793,0,2,7,0,3
OG0009009.iq.fa,22,24,239,100,555,0.6143145161290322,620,0,0,0,0,1
OG0000798.iq.fa,43,99,315,100,1751,0.8344812958986187,1905,0,5,7,0,16
OG0002725.iq.fa,29,55,279,101,567,0.5775885745674265,662,0,0,9,0,10
OG0000416.iq.fa,47,140,523,99,2402,0.848575150963686,3454,4,10,6,0,17
OG0005235.iq.fa,27,35,248,100,743,0.7058564658090725,844,0,2,0,0,3
OG0000453.iq.fa,43,175,177,99,428,0.6546525847693163,514,2,130,12,0,5
OG0007900.iq.fa,23,29,183,100,328,0.5007986469980269,367,0,2,4,0,0
OG0001545.iq.fa,35,70,583,99,962,0.4715966386554622,1105,1,2,2,0,26
OG0000607.iq.fa,41,112,267,99,1903,0.9008498677248677,2700,3,0,1,0,25
OG0007592.iq.fa,32,34,175,99,203,0.2767379679144385,242,1,0,1,0,1
OG0001015.iq.fa,43,95,301,103,473,0.4674835236238745,567,0,3,8,0,32
OG0004306.iq.fa,40,40,269,108,368,0.37185314685314685,429,0,2,0,0,0
OG0005619.iq.fa,28,50,230,99,1193,0.8190894819466248,1274,1,4,6,0,5
OG0008786.iq.fa,21,21,136,99,157,0.3132328308207705,199,1,2,0,0,0
OG0002309.iq.fa,45,60,435,103,828,0.5949039653035936,1076,0,3,8,0,4
OG0005514.iq.fa,34,40,261,100,2042,0.8718673519334312,2043,0,0,4,0,2
OG0004656.iq.fa,38,51,224,104,305,0.30980392156862746,325,0,2,1,0,6
OG0008916.iq.fa,24,27,235,100,374,0.41764974851394604,405,0,2,0,0,1
OG0005044.iq.fa,27,39,387,106,1049,0.6434339141521462,1086,0,4,2,0,3
OG0008357.iq.fa,21,23,334,102,1097,0.7200335289186923,1193,0,2,1,0,0
OG0000082.iq.fa,35,282,171,99,584,0.7555366700053622,701,4,115,10,0,30
OG0007903.iq.fa,22,30,212,99,948,0.7834520176330959,983,1,2,1,0,2
OG0004299.iq.fa,31,42,201,99,569,0.7016413074105382,676,1,0,1,0,8
OG0000765.iq.fa,43,51,367,104,521,0.36467874346970625,578,0,3,4,0,1
OG0000879.iq.fa,43,87,412,101,1252,0.7701725738801908,1795,0,6,6,0,13
OG0002482.iq.fa,42,59,758,100,2703,0.7990962246963108,3777,0,2,4,0,6
OG0009786.iq.fa,24,27,195,100,289,0.3995682799363781,326,0,2,1,0,0
OG0004619.iq.fa,23,27,219,110,515,0.6180152277713253,574,0,2,0,0,4
OG0000357.iq.fa,36,174,234,99,1389,0.8874158318731334,2086,5,23,19,0,27
OG0003290.iq.fa,43,57,258,99,372,0.4041165268830274,433,1,5,1,0,5
OG0003309.iq.fa,39,43,207,102,329,0.3868422857926871,339,0,2,2,0,1
OG0001427.iq.fa,37,39,235,105,310,0.4746451465201465,448,0,2,0,0,1
OG0004839.iq.fa,32,39,190,101,309,0.512492622467047,391,0,3,3,0,3
OG0008229.iq.fa,24,25,198,103,311,0.3879012345679012,324,0,0,0,0,1
OG0001177.iq.fa,41,105,193,104,260,0.3777369468687797,311,0,8,4,0,28
OG0001879.iq.fa,40,73,398,108,920,0.6306575088552312,1079,0,5,3,0,7
OG0003830.iq.fa,40,45,201,113,235,0.27466027178257396,278,0,0,3,0,1
OG0004171.iq.fa,29,35,191,101,589,0.709876810028096,661,0,2,0,0,3
OG0001717.iq.fa,44,71,312,99,459,0.4267217986820003,545,2,4,5,0,11
OG0003461.iq.fa,32,53,246,99,1108,0.7891279435737689,1169,1,2,3,0,9
OG0006207.iq.fa,30,30,202,108,227,0.15467224546722455,239,0,2,0,0,0
OG0004932.iq.fa,40,46,288,101,990,0.7225076222695569,1041,0,2,4,0,2
OG0006808.iq.fa,29,32,228,106,308,0.32003348214285715,336,0,2,0,0,0
OG0001801.iq.fa,42,49,334,104,496,0.3870823054496524,546,0,3,5,0,1
OG0001752.iq.fa,42,84,185,99,249,0.2872252747252747,260,1,0,0,0,21
OG0004134.iq.fa,39,46,253,109,1564,0.8400317799512342,1587,0,2,2,0,2
OG0003146.iq.fa,38,47,265,100,616,0.6373677479362865,732,0,2,5,0,2
OG0004977.iq.fa,35,35,183,118,204,0.11456176673567978,207,0,4,0,0,0
OG0006242.iq.fa,31,38,206,99,327,0.43392134181607867,364,1,2,3,0,2
OG0003424.iq.fa,28,49,513,103,3038,0.8596987605542628,3657,0,5,2,0,6
OG0002754.iq.fa,42,49,195,112,227,0.25591681539535965,263,0,3,1,0,3
OG0006693.iq.fa,24,34,203,103,1016,0.8134384586405468,1093,0,14,2,0,1
OG0003416.iq.fa,39,60,315,101,825,0.6557678311499272,916,0,3,4,0,6
OG0001383.iq.fa,45,73,298,101,622,0.6327959341657972,814,0,4,5,0,11
OG0000895.iq.fa,38,129,278,100,2605,0.9350876907470395,4287,0,0,7,0,24
OG0008060.iq.fa,25,29,473,99,2178,0.8260412577405751,2723,1,3,0,0,1
OG0006997.iq.fa,24,27,227,99,446,0.5418906810035843,496,1,0,1,0,0
OG0000717.iq.fa,30,78,219,100,412,0.5493905002101723,488,0,49,3,0,6
OG0005171.iq.fa,34,35,181,99,249,0.34646725116039195,277,1,3,0,0,0
OG0007207.iq.fa,22,38,161,102,594,0.8357873320126359,983,0,3,2,0,8
OG0000235.iq.fa,49,125,380,102,530,0.40319749216300943,638,0,5,8,0,41
OG0007525.iq.fa,31,32,146,116,157,0.13572485207100593,169,0,2,1,0,0
OG0002461.iq.fa,33,54,366,100,624,0.4864612511671335,714,0,3,9,0,5
OG0005392.iq.fa,38,39,170,99,201,0.2662044679212061,233,2,4,0,0,0
OG0007693.iq.fa,27,29,264,106,810,0.7263868065967016,966,0,2,0,0,1
OG0006337.iq.fa,30,34,197,109,405,0.5386888400219901,428,0,2,0,0,1
OG0004580.iq.fa,30,48,301,102,1123,0.7439236111111112,1176,0,5,5,0,3
OG0003589.iq.fa,32,58,258,102,705,0.6433694309869858,726,0,6,4,0,5
OG0005134.iq.fa,27,35,298,103,617,0.5372843874391862,646,0,2,1,0,1
OG0002204.iq.fa,34,79,249,99,3190,0.9274055599086224,3441,3,0,7,0,16
OG0007075.iq.fa,26,34,262,102,480,0.46904024767801855,494,0,3,1,0,0
OG0006667.iq.fa,28,30,228,100,299,0.245984598459846,303,0,2,0,0,2
OG0002424.iq.fa,28,51,355,100,1813,0.8219273674382034,1995,0,2,1,0,4
OG0007242.iq.fa,23,30,201,100,378,0.47552083333333334,384,0,2,0,0,3
OG0005977.iq.fa,38,41,211,137,246,0.25704225352112675,284,0,4,0,0,0
OG0001162.iq.fa,44,112,214,99,897,0.8481827359919233,1415,1,31,6,0,18
OG0004704.iq.fa,26,43,355,100,958,0.6636699344968567,1058,0,2,3,0,4
OG0001913.iq.fa,41,83,116,100,140,0.20539300057372348,147,0,2,3,0,13
OG0000752.iq.fa,45,111,334,102,470,0.39600540866363654,553,0,11,6,0,26
OG0006472.iq.fa,23,36,278,105,483,0.4460459465429644,503,0,2,0,0,7
OG0003214.iq.fa,33,36,447,107,590,0.2594738778513613,604,0,3,1,0,1
OG0004741.iq.fa,32,33,180,101,204,0.26030799801291604,244,0,3,0,0,0
OG0001921.iq.fa,29,77,218,99,996,0.8279630464173051,1268,1,20,4,0,15
OG0001127.iq.fa,41,69,327,99,716,0.5955285645187295,809,1,4,4,0,9
OG0003504.iq.fa,35,42,241,106,365,0.5003935458480913,484,0,2,0,0,5
OG0003251.iq.fa,33,38,255,99,405,0.4559533161261362,469,1,0,1,0,2
OG0006437.iq.fa,27,33,229,100,369,0.49037037037037035,450,0,2,2,0,2
OG0002316.iq.fa,45,63,439,105,748,0.44420333534257583,790,0,3,4,0,6
OG0001964.iq.fa,42,67,469,99,1202,0.6534449523599714,1355,1,4,10,0,7
OG0003680.iq.fa,42,54,347,102,649,0.5213026819923372,725,0,4,3,0,4
OG0004390.iq.fa,36,50,242,99,473,0.5335260115606937,519,3,4,2,0,1
OG0002646.iq.fa,44,53,293,102,366,0.22864945382323734,380,0,2,0,0,5
OG0002829.iq.fa,40,55,381,99,663,0.5655022286721261,877,1,3,7,0,2
OG0003054.iq.fa,41,58,226,103,1081,0.7985739750445633,1122,0,4,4,0,7
OG0008422.iq.fa,21,31,164,100,301,0.5893548387096774,400,0,0,0,0,7
OG0005704.iq.fa,32,40,276,100,578,0.5903703703703703,675,0,3,1,0,3
OG0006885.iq.fa,24,34,229,99,451,0.5560928433268859,517,1,0,3,0,4
OG0005820.iq.fa,24,33,125,101,167,0.3561771561771562,195,0,3,0,0,8
OG0002214.iq.fa,41,60,349,100,1074,0.720272435897436,1248,0,6,9,0,4
OG0000921.iq.fa,34,140,126,99,518,0.8690156434474616,968,13,31,6,0,22
OG0002680.iq.fa,30,44,204,94,329,0.3890174197060425,334,1,4,3,0,9
OG0002289.iq.fa,33,82,212,99,570,0.6952269307485041,697,1,2,5,0,19
OG0006775.iq.fa,24,33,249,102,381,0.37643939393939396,400,0,2,5,0,2
OG0007167.iq.fa,24,27,174,91,209,0.36686868686868684,275,1,2,0,0,2
OG0005390.iq.fa,22,45,210,99,835,0.7732807080492764,929,1,2,7,0,3
OG0004492.iq.fa,31,33,353,101,465,0.25906867416301377,477,0,2,2,0,0
OG0000383.iq.fa,29,155,128,99,406,0.8248294679399727,733,9,9,9,0,16
OG0005741.iq.fa,29,31,260,104,517,0.5770376954044022,617,0,3,0,0,2
OG0000964.iq.fa,41,104,320,99,758,0.6443801758729617,901,2,0,12,0,21
OG0007437.iq.fa,23,34,161,99,526,0.738773953665745,617,1,0,0,0,6
OG0002251.iq.fa,37,70,307,100,755,0.6160892857142857,800,0,0,8,0,18
OG0005280.iq.fa,28,43,343,102,1674,0.8459067681718636,2230,0,3,7,0,3
OG0005156.iq.fa,27,43,135,105,166,0.3731696813092162,216,0,0,0,0,10
OG0004744.iq.fa,33,42,327,104,1207,0.7687074829931972,1414,0,2,4,0,3
OG0008804.iq.fa,21,22,126,102,162,0.3036963036963037,182,0,0,1,0,0
OG0000127.iq.fa,42,255,209,99,443,0.7466515108458842,828,2,88,14,0,28
OG0005406.iq.fa,28,39,224,99,325,0.34978508966948274,346,1,0,2,0,7
OG0005029.iq.fa,22,27,1663,404,2648,0.4794303064015204,3196,0,2,0,0,2
OG0004214.iq.fa,46,57,260,102,356,0.35131469571684826,401,0,2,1,0,8
OG0002539.iq.fa,43,58,358,111,457,0.2774610678531702,496,0,3,8,0,3
OG0007811.iq.fa,29,32,212,99,524,0.6543729707792207,616,1,2,2,0,0
OG0010788.iq.fa,21,21,175,107,186,0.06838905775075987,188,0,0,0,0,0
OG0008567.iq.fa,25,30,198,104,519,0.7003016591251885,663,0,2,1,0,0
OG0003382.iq.fa,34,51,533,100,1398,0.6600099912576496,1570,0,2,8,0,4
OG0001535.iq.fa,31,96,213,99,748,0.8305764659270999,1262,1,52,9,0,5
OG0002590.iq.fa,34,53,324,99,1393,0.7984105061098365,1612,1,4,2,0,5
OG0000818.iq.fa,45,112,158,102,219,0.3959125475285171,263,0,6,7,0,24
OG0005599.iq.fa,36,42,208,100,302,0.4343786295005807,369,0,2,4,0,0
OG0001065.iq.fa,31,77,188,101,258,0.44496801133969277,339,0,20,3,0,14
OG0000677.iq.fa,26,91,130,99,384,0.7570321469575201,536,2,2,11,0,17
OG0009529.iq.fa,22,27,370,104,2092,0.878783467384843,3053,0,2,2,0,2
OG0003922.iq.fa,34,50,204,100,528,0.6278545454545454,550,0,4,1,0,8
OG0000987.iq.fa,45,62,363,99,495,0.42526626917392857,633,1,4,4,0,5
OG0009079.iq.fa,24,28,217,102,948,0.7721481037325738,953,0,2,0,0,1
OG0004029.iq.fa,28,50,449,102,2187,0.8449569114098586,2901,0,2,6,0,9
OG0000327.iq.fa,46,146,385,99,748,0.5977187995486166,959,2,6,17,0,27
OG0009084.iq.fa,23,26,214,104,338,0.43821926105390674,381,0,2,1,0,0
OG0007973.iq.fa,28,29,202,104,283,0.35220887958576624,313,0,2,0,0,1
OG0009908.iq.fa,23,23,166,102,198,0.16102250382346514,199,0,0,0,0,0
OG0004897.iq.fa,37,46,271,101,395,0.3916934150374477,447,0,3,3,0,2
OG0003539.iq.fa,27,49,206,100,383,0.5457160837903443,454,0,0,3,0,14
